"_id",associates,skill
5ad2e08c6df2db045170f1fb,"{python=0.6444444444444445, spark=0.3111111111111111, theano=0.24444444444444444, big data=0.24444444444444444, nosql=0.2222222222222222, c++=0.2222222222222222, caffe=0.2222222222222222, sql=0.2222222222222222, scala=0.2, java=0.17777777777777778}",tensorflow
5ad2e0c16df2db045170f1fc,"{java=0.16666666666666666, javascript=0.16666666666666666, restful=0.16666666666666666, pl sql=0.16666666666666666, oracle=0.16666666666666666, linux=0.16666666666666666, windows=0.16666666666666666, excel=0.16666666666666666, html=0.16666666666666666, jira=0.16666666666666666}",maf
5ad2e13b6df2db045170f1fd,"{java=0.8571428571428571, agile=0.7142857142857143, maven=0.40476190476190477, sql=0.40476190476190477, git=0.40476190476190477, javascript=0.38095238095238093, linux=0.35714285714285715, chef=0.3333333333333333, spring=0.30952380952380953, ansible=0.2857142857142857}",jenkins
5ad2e1b56df2db045170f1fe,"{windows=0.3412698412698413, ios=0.3333333333333333, linux=0.25396825396825395, html=0.19047619047619047, css=0.16666666666666666, c++=0.14285714285714285, java=0.11904761904761904, go=0.11904761904761904, sql=0.11904761904761904, javascript=0.1111111111111111}",macos
5ad2e1fe6df2db045170f1ff,"{python=0.8125, html=0.6875, big data=0.4375, pandas=0.4375, sql=0.4375, tensorflow=0.375, javascript=0.3125, agile=0.3125, theano=0.25, keras=0.25}",scipy
5ad2e25a6df2db045170f200,"{agile=0.7222222222222222, jenkins=0.7222222222222222, html=0.7222222222222222, java=0.6111111111111112, scrum=0.4444444444444444, docker=0.4444444444444444, maven=0.4444444444444444, sql=0.3888888888888889, bitbucket=0.3333333333333333, artifactory=0.3333333333333333}",sonarqube
5ad2e2846df2db045170f201,"{css=0.0, stata=0.0, jackrabbit=0.0, theano=0.0, ios=0.0, ajax=0.0, java=0.0, ibm mq=0.0, travis ci=0.0, xml=0.0, XCTest=0.0}",jsoup
5ad2e31c6df2db045170f202,"{windows=0.0962962962962963, go=0.08888888888888889, chef=0.08888888888888889, sql=0.05925925925925926, c=0.05185185185185185, html=0.044444444444444446, agile=0.037037037037037035, tableau=0.02962962962962963, oracle=0.022222222222222223, sql server=0.014814814814814815}",excel
5ad2e3796df2db045170f203,"{python=0.6538461538461539, sql=0.5384615384615384, agile=0.3076923076923077, excel=0.3076923076923077, javascript=0.23076923076923078, aws=0.23076923076923078, html=0.23076923076923078, css=0.19230769230769232, spark=0.19230769230769232, etl=0.19230769230769232}",pandas
5ad2e3fd6df2db045170f204,"{excel=0.3333333333333333, html=0.16666666666666666, go=0.1111111111111111, agile=0.05555555555555555, sql=0.05555555555555555, css=0.037037037037037035, java=0.037037037037037035, nosql=0.037037037037037035, linux=0.037037037037037035, windows=0.037037037037037035}",pivotal
